isbn,title,author,yearofpub,publisher,imgsmall,imgmedium,imglarge
3423116714,Die Klone der Joanna May. Roman.,Fay Weldon,1993,Dtv,http://images.amazon.com/images/P/3423116714.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3423116714.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3423116714.01.LZZZZZZZ.jpg
3423241489,Ist mein Hintern wirklich so dick? Tagebuch einer empfindsamen Frau.,Arabella Weir,1998,Dtv,http://images.amazon.com/images/P/3423241489.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3423241489.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3423241489.01.LZZZZZZZ.jpg
3426605686,Haifischfrauen.,Kiana Davenport,1996,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",http://images.amazon.com/images/P/3426605686.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3426605686.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3426605686.01.LZZZZZZZ.jpg
3453212150,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,2002,Heyne,http://images.amazon.com/images/P/3453212150.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3453212150.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3453212150.01.LZZZZZZZ.jpg
3462021095,Schwarzer Tee mit drei StÃ¼ck Zucker,Renan Demirkan,1991,Kiepenheuer &amp; Witsch,http://images.amazon.com/images/P/3462021095.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3462021095.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3462021095.01.LZZZZZZZ.jpg
3492045642,QuerschÃ?Â¼sse - Downsize This!,Michael Moore,2003,Piper,http://images.amazon.com/images/P/3492045642.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3492045642.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3492045642.01.LZZZZZZZ.jpg
3498020862,Die Korrekturen.,Jonathan Franzen,2002,"Rowohlt, Reinbek",http://images.amazon.com/images/P/3498020862.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3498020862.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3498020862.01.LZZZZZZZ.jpg
3499110695,Neun ErzÃ?Â¤hlungen.,Jerome D. Salinger,1968,Rowohlt Tb.,http://images.amazon.com/images/P/3499110695.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3499110695.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3499110695.01.LZZZZZZZ.jpg
3499151502,"Hebt den Dachbalken hoch, Zimmerleute / Seymour wird vorgestellt.",Jerome D. Salinger,1998,Rowohlt Tb.,http://images.amazon.com/images/P/3499151502.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3499151502.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3499151502.01.LZZZZZZZ.jpg
3518111000,"Ulysses (Ã?Â?bersetzg. WollschlÃ?Â¤ger). ( Neue Folge, 100).",James Joyce,1981,Suhrkamp,http://images.amazon.com/images/P/3518111000.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3518111000.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3518111000.01.LZZZZZZZ.jpg
3548254268,Eine ganz normale AffÃ?Â¤re.,Joanna Trollope,2002,Ullstein Tb,http://images.amazon.com/images/P/3548254268.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/3548254268.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/3548254268.01.LZZZZZZZ.jpg
